predict_type,known_columns,num_known_columns,secret_column,predicted_value,true_value,prediction,base_confidence,attack_confidence
base,"[""Accident"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""GoodStudent"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,Age,Adult,Adult,True,0.61,
attack,"[""Accident"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""GoodStudent"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,Age,Adolescent,Adolescent,True,,0.058
base,"[""Accident"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""GoodStudent"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,Age,Adult,Adult,True,0.7907194411195957,
attack,"[""Accident"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""GoodStudent"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,Age,Adult,Adult,True,,0.5
base,"[""Accident"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""GoodStudent"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,Age,Adult,Adult,True,0.7676478567102074,
attack,"[""Accident"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""GoodStudent"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,Age,Adult,Adult,True,,0.169
base,"[""Accident"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""GoodStudent"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,Age,Senior,Senior,True,1.0,
attack,"[""Accident"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""GoodStudent"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,Age,Adult,Adult,True,,0.083
base,"[""Accident"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""GoodStudent"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,Age,Adult,Adolescent,False,0.63,
attack,"[""Accident"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""GoodStudent"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,Age,Adult,Adult,True,,1.0
base,"[""Accident"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""GoodStudent"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,Age,Adult,Adult,True,0.62,
attack,"[""Accident"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""GoodStudent"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,Age,Adolescent,Adult,False,,0.846
base,"[""Accident"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""GoodStudent"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,Age,Adult,Adult,True,0.8782142857142858,
attack,"[""Accident"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""GoodStudent"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,Age,Adult,Adult,True,,0.962
base,"[""Accident"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""GoodStudent"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,Age,Adult,Adult,True,0.91,
attack,"[""Accident"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""GoodStudent"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,Age,Senior,Senior,True,,0.065
base,"[""Accident"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""GoodStudent"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,Age,Adult,Adolescent,False,0.779,
attack,"[""Accident"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""GoodStudent"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,Age,Adolescent,Senior,False,,0.123
base,"[""Accident"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""GoodStudent"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,Age,Adult,Adult,True,0.895,
attack,"[""Accident"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""GoodStudent"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,Age,Adult,Adult,True,,0.214
base,"[""Accident"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""GoodStudent"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,Age,Senior,Senior,True,0.99,
attack,"[""Accident"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""GoodStudent"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,Age,Adult,Adult,True,,0.962
base,"[""Accident"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""GoodStudent"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,Age,Senior,Senior,True,0.99,
attack,"[""Accident"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""GoodStudent"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,Age,Adult,Adolescent,False,,0.923
base,"[""Accident"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""GoodStudent"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,Age,Adult,Adult,True,0.7313333333333333,
attack,"[""Accident"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""GoodStudent"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,Age,Adolescent,Adult,False,,0.09
base,"[""Accident"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""GoodStudent"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,Age,Adult,Adult,True,0.684,
attack,"[""Accident"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""GoodStudent"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,Age,Senior,Senior,True,,0.962
base,"[""Accident"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""GoodStudent"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,Age,Adult,Senior,False,0.7786656837202673,
attack,"[""Accident"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""GoodStudent"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,Age,Adult,Adolescent,False,,0.923
base,"[""Accident"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""GoodStudent"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,Age,Adult,Adolescent,False,0.82,
attack,"[""Accident"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""GoodStudent"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,Age,Adolescent,Adult,False,,0.321
base,"[""Accident"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""GoodStudent"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,Age,Adult,Adult,True,0.81,
attack,"[""Accident"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""GoodStudent"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,Age,Adult,Adult,True,,0.111
base,"[""Accident"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""GoodStudent"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,Age,Adult,Adult,True,0.42,
attack,"[""Accident"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""GoodStudent"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,Age,Senior,Adult,False,,1.0
base,"[""Accident"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""GoodStudent"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,Age,Adult,Adult,True,0.79,
attack,"[""Accident"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""GoodStudent"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,Age,Adult,Adult,True,,0.962
base,"[""Accident"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""GoodStudent"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,Age,Adult,Adult,True,0.6146904761904761,
attack,"[""Accident"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""GoodStudent"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,Age,Adult,Adult,True,,0.142
base,"[""Accident"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""GoodStudent"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,Age,Adult,Adolescent,False,0.5608333333333333,
attack,"[""Accident"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""GoodStudent"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,Age,Senior,Senior,True,,0.113
base,"[""Accident"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""GoodStudent"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,Age,Adult,Adult,True,0.8841666666666668,
attack,"[""Accident"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""GoodStudent"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,Age,Adult,Adult,True,,0.071
base,"[""Accident"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""GoodStudent"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,Age,Adult,Adolescent,False,0.6833333333333335,
attack,"[""Accident"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""GoodStudent"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,Age,Adolescent,Adult,False,,0.214
base,"[""Accident"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""GoodStudent"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,Age,Senior,Senior,True,0.99,
attack,"[""Accident"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""GoodStudent"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,Age,Adult,Adult,True,,0.923
base,"[""Accident"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""GoodStudent"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,Age,Adult,Adult,True,0.9229999999999999,
attack,"[""Accident"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""GoodStudent"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,Age,Adult,Senior,False,,0.885
base,"[""Accident"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""GoodStudent"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,Age,Adolescent,Adult,False,0.8215833333333333,
attack,"[""Accident"", ""Airbag"", ""AntiTheft"", ""Antilock"", ""CarValue"", ""Cushioning"", ""DrivHist"", ""DrivQuality"", ""DrivingSkill"", ""GoodStudent"", ""HomeBase"", ""ILiCost"", ""MakeModel"", ""MedCost"", ""Mileage"", ""OtherCar"", ""OtherCarCost"", ""PropCost"", ""RiskAversion"", ""RuggedAuto"", ""SeniorTrain"", ""SocioEcon"", ""Theft"", ""ThisCarCost"", ""ThisCarDam"", ""VehicleYear""]",26,Age,Adult,Adult,True,,0.18
